"clause_number","sequence","section","clause_key","heading","opening_words","always_prints","prints_when_plain_english","prints_when_raw_gate","fields_it_asks_for","depends_on","dependency_class","protective_note","keep_cut"
"11.3","56","11. Permitted Use(s) & Restrictions","TRAINING_LESSONS.PENDING","Lessons","[Pending — select whether Lessee is an individual or an entity. This placeholder is replaced by the applicable lessons terms …","no","“Lessee is an” is left blank and “Permitted activities” includes “Riding Lessons”","{""all"":[{""equals"":[""""],""field_key"":""LESSEE.PARTY_TYPE""},{""contains"":[""LESSONS""],""field_key"":""TXN.PERMITTED_ACTIVITIES""}]}","— nothing","Turned on by “Lessee is an”, asked in §1.1 — cut that clause and this one falls back on whatever answers remain. | Turned on by “Permitted activities”, asked in §11.1 — cut that clause and this one stops printing for good.","standalone","",""
"11.4","57","11. Permitted Use(s) & Restrictions","TRAINING_LESSONS.LESSONS","Lessons — Continuous Enrollment","Lessee is required to maintain continuous enrollment in weekly riding lessons: …. Lessons shall be conducted only by a French …","no","“Lessee is an” is “Individual” and “Permitted activities” includes “Riding Lessons”","{""all"":[{""equals"":[""INDIVIDUAL""],""field_key"":""LESSEE.PARTY_TYPE""},{""contains"":[""LESSONS""],""field_key"":""TXN.PERMITTED_ACTIVITIES""}]}","“Lessee required to take lessons?”","Turned on by “Lessee is an”, asked in §1.1 — cut that clause and this one stops printing for good. | Turned on by “Permitted activities”, asked in §11.1 — cut that clause and this one stops printing for good.","standalone","",""
"11.5","58","11. Permitted Use(s) & Restrictions","TRAINING_LESSONS.LESSONS_ENTITY","Lessons — Lessee's Instruction Program","Lessee is permitted by Lessor to provide riding lessons with the Horse: …","no","“Lessee is an” is “Entity / organization” and “Permitted activities” includes “Riding Lessons”","{""all"":[{""equals"":[""ENTITY""],""field_key"":""LESSEE.PARTY_TYPE""},{""contains"":[""LESSONS""],""field_key"":""TXN.PERMITTED_ACTIVITIES""}]}","“Lessee permitted to provide riding lessons?”","Turned on by “Lessee is an”, asked in §1.1 — cut that clause and this one stops printing for good. | Turned on by “Permitted activities”, asked in §11.1 — cut that clause and this one stops printing for good.","standalone","",""
"11.6","59","11. Permitted Use(s) & Restrictions","TRAINING_LESSONS.TRAINING","Training","Any professional training of the Horse under this Agreement, including groundwork, schooling, and under-saddle training, shall be conducted only by …","no","“Permitted activities” includes “Training”","{""contains"":[""TRAINING""],""field_key"":""TXN.PERMITTED_ACTIVITIES""}","— nothing","Turned on by “Permitted activities”, asked in §11.1 — cut that clause and this one stops printing for good.","standalone","",""
"11.7","60","11. Permitted Use(s) & Restrictions","COMPETITIONS.INTRO","Competition Costs and Winnings","Expenses of competition (entry fees, transportation, and the like) are: …. Any prize money or winnings earned in competition shall …","no","“Permitted activities” includes “Competitions”","{""contains"":[""COMPETITIONS""],""field_key"":""TXN.PERMITTED_ACTIVITIES""}","“Competition expenses” | “Competition winnings”","Turned on by “Permitted activities”, asked in §11.1 — cut that clause and this one stops printing for good.","standalone","",""
"11.8","61","11. Permitted Use(s) & Restrictions","RESTRICT.COMP_TITLE","Competition Restrictions","…","no","“Permitted activities” includes “Competitions”","{""contains"":[""COMPETITIONS""],""field_key"":""TXN.PERMITTED_ACTIVITIES""}","“Check this box to include restrictions for competitions”","Cut → the question “Check this box to include restrictions for competitions” goes with it, and 1 clause (§11.9) stops printing for good. | Cut → the question “Check this box to include restrictions for competitions” goes with it, and 1 clause (§11.10) falls back on whatever answers remain. | Turned on by “Permitted activities”, asked in §11.1 — cut that clause and this one stops printing for good.","DEPENDED-UPON","",""
"11.9","62","11. Permitted Use(s) & Restrictions","RESTRICT.COMP_ON","","Competitions are restricted as follows: …","no","“Permitted activities” includes “Competitions” and “Check this box to include restrictions for competitions” is “YES”","{""all"":[{""contains"":[""COMPETITIONS""],""field_key"":""TXN.PERMITTED_ACTIVITIES""},{""equals"":[""YES""],""field_key"":""TXN.COMP_OMIT""}]}","“Competition restriction”","§11.24 points at this clause in prose — “subject to any competition restrictions stated in this Agreement”. | Turned on by “Permitted activities”, asked in §11.1 — cut that clause and this one stops printing for good. | Turned on by “Check this box to include restrictions for competitions”, asked in §11.8 — cut that clause and this one stops printing for good.","DEPENDED-UPON","",""
"11.10","63","11. Permitted Use(s) & Restrictions","RESTRICT.COMP_OFF","","Lessor does not restrict competition activity in any way.","no","“Permitted activities” includes “Competitions” and “Check this box to include restrictions for competitions” is “NO” or left blank","{""all"":[{""contains"":[""COMPETITIONS""],""field_key"":""TXN.PERMITTED_ACTIVITIES""},{""equals"":[""NO"",""""],""field_key"":""TXN.COMP_OMIT""}]}","— nothing","Turned on by “Permitted activities”, asked in §11.1 — cut that clause and this one stops printing for good. | Turned on by “Check this box to include restrictions for competitions”, asked in §11.8 — cut that clause and this one falls back on whatever answers remain.","standalone","",""
"11.11","64","11. Permitted Use(s) & Restrictions","RESTRICT.JUMP_TITLE","Jumping Restrictions","…","no","“Permitted activities” includes “Jumping”","{""contains"":[""JUMPING""],""field_key"":""TXN.PERMITTED_ACTIVITIES""}","“Check this box to include restrictions for jumping”","Cut → the question “Check this box to include restrictions for jumping” goes with it, and 1 clause (§11.12) stops printing for good. | Cut → the question “Check this box to include restrictions for jumping” goes with it, and 1 clause (§11.13) falls back on whatever answers remain. | Turned on by “Permitted activities”, asked in §11.1 — cut that clause and this one stops printing for good.","DEPENDED-UPON","",""
"11.12","65","11. Permitted Use(s) & Restrictions","RESTRICT.JUMP_ON","","Jumping is restricted as follows: maximum height …; no more than … days per week; under trainer supervision only: …","no","“Permitted activities” includes “Jumping” and “Check this box to include restrictions for jumping” is “YES”","{""all"":[{""contains"":[""JUMPING""],""field_key"":""TXN.PERMITTED_ACTIVITIES""},{""equals"":[""YES""],""field_key"":""TXN.JUMP_OMIT""}]}","“Maximum height” | “Days per week” | “Only under trainer supervision?”","Turned on by “Permitted activities”, asked in §11.1 — cut that clause and this one stops printing for good. | Turned on by “Check this box to include restrictions for jumping”, asked in §11.11 — cut that clause and this one stops printing for good.","standalone","",""
"11.13","66","11. Permitted Use(s) & Restrictions","RESTRICT.JUMP_OFF","","Lessor does not restrict jumping activity in any way.","no","“Permitted activities” includes “Jumping” and “Check this box to include restrictions for jumping” is “NO” or left blank","{""all"":[{""contains"":[""JUMPING""],""field_key"":""TXN.PERMITTED_ACTIVITIES""},{""equals"":[""NO"",""""],""field_key"":""TXN.JUMP_OMIT""}]}","— nothing","Turned on by “Permitted activities”, asked in §11.1 — cut that clause and this one stops printing for good. | Turned on by “Check this box to include restrictions for jumping”, asked in §11.11 — cut that clause and this one falls back on whatever answers remain.","standalone","",""
"11.14","67","11. Permitted Use(s) & Restrictions","RESTRICT.TRAIL_TITLE","Trail-Riding Restrictions","…","no","“Permitted activities” includes “Trail Riding”","{""contains"":[""TRAIL""],""field_key"":""TXN.PERMITTED_ACTIVITIES""}","“Check this box to include restrictions for trail riding”","Cut → the question “Check this box to include restrictions for trail riding” goes with it, and 1 clause (§11.15) stops printing for good. | Cut → the question “Check this box to include restrictions for trail riding” goes with it, and 1 clause (§11.16) falls back on whatever answers remain. | Turned on by “Permitted activities”, asked in §11.1 — cut that clause and this one stops printing for good.","DEPENDED-UPON","",""
"11.15","68","11. Permitted Use(s) & Restrictions","RESTRICT.TRAIL_ON","","Trail riding is restricted as follows: …","no","“Permitted activities” includes “Trail Riding” and “Check this box to include restrictions for trail riding” is “YES”","{""all"":[{""contains"":[""TRAIL""],""field_key"":""TXN.PERMITTED_ACTIVITIES""},{""equals"":[""YES""],""field_key"":""TXN.TRAIL_OMIT""}]}","“Trail-riding restriction”","Turned on by “Permitted activities”, asked in §11.1 — cut that clause and this one stops printing for good. | Turned on by “Check this box to include restrictions for trail riding”, asked in §11.14 — cut that clause and this one stops printing for good.","standalone","",""
"11.16","69","11. Permitted Use(s) & Restrictions","RESTRICT.TRAIL_OFF","","Lessor does not restrict trail-riding activity in any way.","no","“Permitted activities” includes “Trail Riding” and “Check this box to include restrictions for trail riding” is “NO” or left blank","{""all"":[{""contains"":[""TRAIL""],""field_key"":""TXN.PERMITTED_ACTIVITIES""},{""equals"":[""NO"",""""],""field_key"":""TXN.TRAIL_OMIT""}]}","— nothing","Turned on by “Permitted activities”, asked in §11.1 — cut that clause and this one stops printing for good. | Turned on by “Check this box to include restrictions for trail riding”, asked in §11.14 — cut that clause and this one falls back on whatever answers remain.","standalone","",""
"11.17","70","11. Permitted Use(s) & Restrictions","PERMITTED_USE.RESTRICTIONS","Additional Restrictions","Additional restrictions: …","yes","always","","“Add Restrictions”","Nothing else reads this clause or its answers. Cuts cleanly.","standalone","",""
"11.18","71","11. Permitted Use(s) & Restrictions","PROHIBITED.OTHER","Other Allowed Activities","Lessee is permitted to engage in the following additional activities with the Horse: …","no","“Additional permitted activities” includes “Breeding” or “Emotional Support Services” or “Film / Television / Advertising” or “Other”","{""contains"":[""BREEDING"",""EMOTIONAL_SUPPORT"",""FILM_TV_AD"",""OTHER""],""field_key"":""TXN.ADDITIONAL_ACTIVITIES""}","“Additional permitted activities”","Cut → the question “Additional permitted activities” goes with it, and 1 clause (§11.20) and 1 question (“Other additional permitted activity”) stop printing for good. | Cut → the question “Additional permitted activities” goes with it, and 1 clause (§11.19) prints in every lease from then on.","DEPENDED-UPON","",""
"11.19","72","11. Permitted Use(s) & Restrictions","PROHIBITED.OTHER_NONE","Other Allowed Activities","Lessee is not permitted to engage in any activities with the Horse beyond the permitted uses stated above.","no","“Additional permitted activities” is left blank or “None — no additional activities”","{""equals"":["""",""NONE""],""field_key"":""TXN.ADDITIONAL_ACTIVITIES""}","— nothing","This clause points at §11.1 in prose — “beyond the permitted uses stated above” — and §11.1 already says the same thing in its second sentence. | Turned on by “Additional permitted activities”, asked in §11.18 — cut that clause and this one prints in every lease from then on.","standalone","",""
"11.20","73","11. Permitted Use(s) & Restrictions","PROHIBITED.OTHER_NOTE","","Other additional permitted activity: …","no","“Additional permitted activities” includes “Other”","{""contains"":[""OTHER""],""field_key"":""TXN.ADDITIONAL_ACTIVITIES""}","“Other additional permitted activity” — only if “Additional permitted activities” includes “Other”","Turned on by “Additional permitted activities”, asked in §11.18 — cut that clause and this one stops printing for good.","standalone","",""
"11.21","74","11. Permitted Use(s) & Restrictions","PROHIBITED.OTHERS","Allowing Others to Ride","The following additional persons may ride or handle the Horse without Lessor's prior permission: …. Only the persons identified above …","yes","always","","“Others allowed to ride”","Cut → the question “Others allowed to ride” goes with it, and 1 clause (§11.22) and 1 question (“Other persons allowed”) stop printing for good. | Requires something in writing — what that means is set by §15.1, not here.","DEPENDED-UPON","",""
"11.22","75","11. Permitted Use(s) & Restrictions","PROHIBITED.OTHERS_OTHER","","Other persons allowed to ride or handle the Horse: …","no","“Others allowed to ride” includes “Other”","{""contains"":[""OTHER""],""field_key"":""TXN.OTHERS_ALLOWED""}","“Other persons allowed” — only if “Others allowed to ride” includes “Other”","Turned on by “Others allowed to ride”, asked in §11.21 — cut that clause and this one stops printing for good.","standalone","",""
"11.23","76","11. Permitted Use(s) & Restrictions","PERMITTED_USE.RELEASES_REQUIRED","Releases Required for Authorized Riders","All persons other than Lessee must, prior to handling or riding the Horse, have executed a liability release that names …","yes","always","","— nothing","PROTECTIVE. Requires every non-Lessee rider to sign a release naming both parties, with parent signature for minors. §2.7 names this provision, and §21.3 relies on it. It is the only thing standing between an unreleased guest rider and both parties. | Defines “Releases Required for Authorized Riders”, used in §2.7. | §2.7 points at this clause in prose — names it: “a release satisfying the Releases Required for Authorized Riders provision”. | §21.3 points at this clause in prose — “will, before doing so, have executed the releases required under this Agreement”.","PROTECTIVE + DEPENDED-UPON","Requires every non-Lessee rider to sign a release naming both parties, with parent signature for minors. §2.7 names this provision, and §21.3 relies on it. It is the only thing standing between an unreleased guest rider and both parties.",""
"11.24","77","11. Permitted Use(s) & Restrictions","PERMITTED_USE.TRANSPORT","Transport of the Horse","Transport of the Horse to offsite locations (other than for medical care, which is always permitted): … For clarity, riding …","yes","always","","“Offsite transport”","This clause points at §11.1 in prose — “Where Competitions are a permitted activity under this Agreement”. | This clause points at §11.9 in prose — “subject to any competition restrictions stated in this Agreement”. | This clause points at §3.15 in prose — “the location at which the Horse is kept under this Agreement”.","standalone","",""
"12.1","78","12. Horse Care and Expenses","SCHEDULE.CARE_DUTY","Lessee's Responsibility for Care and Exercise","Lessee's use of the Horse is a responsibility as well as a right: regular, consistent exercise and attention are important …","no","“Include Lessee care & exercise responsibility” is “YES”","{""equals"":[""YES""],""field_key"":""TXN.EXERCISE_INCLUDE""}","“Include Lessee care & exercise responsibility”","PROTECTIVE. The only clause imposing an affirmative care and exercise duty on the Lessee, and the only one making failure to exercise the Horse a ground for the Lessor to terminate. | This clause points at §5.1 in prose — “on their allowed days” — the reserved-days grid. | Requires something in writing — what that means is set by §15.1, not here.","PROTECTIVE","The only clause imposing an affirmative care and exercise duty on the Lessee, and the only one making failure to exercise the Horse a ground for the Lessor to terminate.",""
"12.2","79","12. Horse Care and Expenses","SCHEDULE.TRAINER_CARE","3rd Party Exercise","Lessee is permitted to engage an approved 3rd party to exercise the Horse. All 3rd party exercise shall be conducted …","no","“Include 3rd party exercise” is “YES”","{""equals"":[""YES""],""field_key"":""TXN.TRAINER_CARE_INCLUDE""}","“Include 3rd party exercise” | “Party responsible for arranging” — only if “Include 3rd party exercise” is “YES” | “Party responsible for costs” — only if “Include 3rd party exercise” is “YES” | “Lessee's share of the cost” — only if “Include 3rd party exercise” is “YES” and “Party responsible for costs” is “Shared”","Requires something in writing — what that means is set by §15.1, not here.","standalone","",""
"12.3","80","12. Horse Care and Expenses","CARE.INTRO","","Horse care and expenses shall be managed and paid for by the responsible party as listed below.","yes","always","","— nothing","§13.15 points at this clause in prose — “except as otherwise expressly allocated in the Horse Care and Expenses section”. | §13.16 points at this clause in prose — same words, same reference.","DEPENDED-UPON","",""
"12.4","81","12. Horse Care and Expenses","CARE.SUPPLEMENTS","","…","yes","always","","“Medications and supplements”","Nothing else reads this clause or its answers. Cuts cleanly.","standalone","",""
"12.5","82","12. Horse Care and Expenses","CARE.FARRIER","Farrier Care","Party responsible for arranging: … Party responsible for costs: … Farrier: … Farrier phone: …","yes","always","","“Party responsible for arranging” | “Farrier” — only if “Party responsible for arranging” is “Lessee” | “Party responsible for costs” | “Farrier phone” — only if “Party responsible for arranging” is “Lessee”","§13.15 points at this clause in prose — that section’s actual allocations live in §12.5. | §13.16 points at this clause in prose — same.","DEPENDED-UPON","",""
"12.6","83","12. Horse Care and Expenses","CARE.ROUTINE_VET","Veterinary Care","Party responsible for arranging: … Party responsible for costs: … Veterinarian: … Practice: … Address: … Veterinarian phone: …","yes","always","","“Party responsible for arranging” | “Veterinarian” — only if “Party responsible for arranging” is “Lessee” | “Party responsible for costs” | “Practice” — only if “Party responsible for arranging” is “Lessee” | “Address” — only if “Party responsible for arranging” is “Lessee” | “Veterinarian phone” — only if “Party responsible for arranging” is “Lessee”","§13.15 points at this clause in prose — and §12.6. | §13.16 points at this clause in prose — same.","DEPENDED-UPON","",""
"12.7","84","12. Horse Care and Expenses","CARE.PROTECTIVE","Protective Equipment","Horse must wear protective equipment: …","yes","always","","“Horse must wear protective equipment”","Cut → the question “Horse must wear protective equipment” goes with it, and 1 clause (§12.8) stops printing for good. | §12.8 points at this clause in prose — only reached when §12.7 answers Yes. | This clause points at §12.8 in prose — the “Yes” answered here means nothing unless §12.8 lists the equipment.","DEPENDED-UPON","",""
"12.8","85","12. Horse Care and Expenses","CARE.PROTECTIVE_EQUIP","","Lessor will provide the following equipment for the Horse: … Lessee must ensure equipment is used and properly secured to …","no","“Horse must wear protective equipment” is “YES”","{""equals"":[""YES""],""field_key"":""TXN.PROTECTIVE_REQUIRED""}","“Protective equipment”","§12.7 points at this clause in prose — the “Yes” answered here means nothing unless §12.8 lists the equipment. | This clause points at §12.7 in prose — only reached when §12.7 answers Yes. | Turned on by “Horse must wear protective equipment”, asked in §12.7 — cut that clause and this one stops printing for good.","DEPENDED-UPON","",""
"12.9","86","12. Horse Care and Expenses","CARE.TACK","Tack","When riding and handling the Horse, Lessee shall use only tack in good condition that is properly fitted to the …","yes","always","","“Is Lessee prohibited from using certain tack or equipment?”","PROTECTIVE. Requires tack to be sound and properly fitted. An equipment-safety duty; badly fitted tack is a common injury cause and a common negligence allegation.","PROTECTIVE","Requires tack to be sound and properly fitted. An equipment-safety duty; badly fitted tack is a common injury cause and a common negligence allegation.",""
"12.10","87","12. Horse Care and Expenses","CARE.RIDER_AIDS","Rider Aids","The following rider aids are prohibited: …","yes","always","","“Prohibited rider aids”","Cut → the question “Prohibited rider aids” goes with it, and 1 clause (§12.11) stops printing for good.","DEPENDED-UPON","",""
"12.11","88","12. Horse Care and Expenses","CARE.RIDER_AIDS_OTHER","","Other prohibited rider aid: …","no","“Prohibited rider aids” includes “Other”","{""contains"":[""OTHER""],""field_key"":""TXN.RIDER_AIDS""}","“Other prohibited rider aid”","Turned on by “Prohibited rider aids”, asked in §12.10 — cut that clause and this one stops printing for good.","standalone","",""
"13.1","89","13. Insurance, Risk of Loss, and Indemnification","INSURANCE_RISK.INSURANCE","Insurance Requirements","The parties agree to the insurance elections set forth below. Each policy elected or required below shall be maintained in …","yes","always","","— nothing","PROTECTIVE. Heads the insurance section and carries the obligation that every policy elected below be maintained in effect for the whole term. Cutting it leaves the elections with no duration. | This clause points at §13.3 in prose — “the insurance elections set forth below” — heads the whole block.","PROTECTIVE","Heads the insurance section and carries the obligation that every policy elected below be maintained in effect for the whole term. Cutting it leaves the elections with no duration.",""
"13.2","90","13. Insurance, Risk of Loss, and Indemnification","INSURANCE_RISK.GENERAL_LIABILITY","General Liability Insurance","(no printed text — the “General Liability Insurance” question only)","yes","always","","“General liability insurance is not required for or by either party under this Agreement.”","Cut → the question “General liability insurance is not required for or by either party under this Agreement.” goes with it, and 1 clause (§13.6) stops printing for good. | Cut → the question “General liability insurance is not required for or by either party under this Agreement.” goes with it, and 1 clause (§13.3) and 3 questions (“Lessor”, “Lessee”, “Deductible responsibility (Lessee-responsibility claims)”) print in every lease from then on. | Cut → the question “General liability insurance is not required for or by either party under this Agreement.” goes with it, and 2 clauses (§13.4, §13.5) and 3 questions (“The Lessee accepts financial responsibility for general liability insurance under this Agreement.”, “Split — % paid by Lessor”, “Split — % paid by Lessee”) fall back on whatever answers remain.","DEPENDED-UPON","",""
"13.3","91","13. Insurance, Risk of Loss, and Indemnification","INSURANCE_RISK.GL_STATUS","","Lessor: … general liability insurance covering the Horse and the activities contemplated by this Agreement. Lessee: … general liability insurance …","no","“General liability insurance is not required for or by either party under this Agreement.” is “NO” or left blank","{""equals"":[""NO"",""""],""field_key"":""TXN.GL_NOT_REQUIRED""}","“Lessor” [required] — only if “General liability insurance is not required for or by either party under this Agreement.” is “NO” or left blank | “Lessee” [required] — only if “General liability insurance is not required for or by either party under this Agreement.” is “NO” or left blank","Cut → the question “Lessor” goes with it, and 1 question (“The Lessee accepts financial responsibility for general liability insurance under this Agreement.”) stops printing for good. | Cut → the question “Lessee” goes with it, and 1 question (“The Lessee accepts financial responsibility for general liability insurance under this Agreement.”) stops printing for good. | Cut → the question “Lessor” goes with it, and 2 clauses (§13.4, §13.5) fall back on whatever answers remain. | Cut → the question “Lessee” goes with it, and 2 clauses (§13.4, §13.5) fall back on whatever answers remain. | §13.1 points at this clause in prose — “the insurance elections set forth below” — heads the whole block. | Carries required fields “Lessor”, “Lessee” — cutting the clause removes them from the signing checks. | Turned on by “General liability insurance is not required for or by either party under this Agreement.”, asked in §13.2 — cut that clause and this one prints in every lease from then on.","DEPENDED-UPON","",""
"13.4","92","13. Insurance, Risk of Loss, and Indemnification","INSURANCE_RISK.GL_DED_SIMPLE","","If a claim is made under any such policy arising from events for which Lessee bears responsibility, whether directly or …","no","“General liability insurance is not required for or by either party under this Agreement.” is “NO” or left blank and “Lessor” is “Has and will maintain” or “Will obtain and will maintain”; or “Lessee” is “Has and will maintain” or “Will obtain and will maintain”","{""all"":[{""equals"":[""NO"",""""],""field_key"":""TXN.GL_NOT_REQUIRED""},{""any"":[{""equals"":[""HAS_WILL_MAINTAIN"",""WILL_OBTAIN""],""field_key"":""TXN.GL_LESSOR_STATUS""},{""equals"":[""HAS_WILL_MAINTAIN"",""WILL_OBTAIN""],""field_key"":""TXN.GL_LESSEE_STATUS""}]}]}","“Deductible responsibility (Lessee-responsibility claims)” [required] — only if “General liability insurance is not required for or by either party under this Agreement.” is “NO” or left blank","Cut → the question “Deductible responsibility (Lessee-responsibility claims)” goes with it, and 1 clause (§13.5) and 2 questions (“Split — % paid by Lessor”, “Split — % paid by Lessee”) stop printing for good. | Carries required field “Deductible responsibility (Lessee-responsibility claims)” — cutting the clause removes it from the signing checks. | Turned on by “General liability insurance is not required for or by either party under this Agreement.”, asked in §13.2 — cut that clause and this one falls back on whatever answers remain. | Turned on by “Lessor”, asked in §13.3 — cut that clause and this one falls back on whatever answers remain. | Turned on by “Lessee”, asked in §13.3 — cut that clause and this one falls back on whatever answers remain.","DEPENDED-UPON","",""
"13.5","93","13. Insurance, Risk of Loss, and Indemnification","INSURANCE_RISK.GL_DED_SPLITC","","The deductible shall be split between the parties: … paid by Lessor and … paid by Lessee.","no","“General liability insurance is not required for or by either party under this Agreement.” is “NO” or left blank and “Deductible responsibility (Lessee-responsibility claims)” is “Split” and “Lessor” is “Has and will maintain” or “Will obtain and will maintain”; or “Lessee” is “Has and will maintain” or “Will obtain and will maintain”","{""all"":[{""equals"":[""NO"",""""],""field_key"":""TXN.GL_NOT_REQUIRED""},{""equals"":[""SPLIT""],""field_key"":""TXN.GL_DED_RESP""},{""any"":[{""equals"":[""HAS_WILL_MAINTAIN"",""WILL_OBTAIN""],""field_key"":""TXN.GL_LESSOR_STATUS""},{""equals"":[""HAS_WILL_MAINTAIN"",""WILL_OBTAIN""],""field_key"":""TXN.GL_LESSEE_STATUS""}]}]}","“Split — % paid by Lessor” — only if “General liability insurance is not required for or by either party under this Agreement.” is “NO” or left blank and “Deductible responsibility (Lessee-responsibility claims)” is “Split” | “Split — % paid by Lessee” — only if “General liability insurance is not required for or by either party under this Agreement.” is “NO” or left blank and “Deductible responsibility (Lessee-responsibility claims)” is “Split”","Turned on by “General liability insurance is not required for or by either party under this Agreement.”, asked in §13.2 — cut that clause and this one falls back on whatever answers remain. | Turned on by “Deductible responsibility (Lessee-responsibility claims)”, asked in §13.4 — cut that clause and this one stops printing for good. | Turned on by “Lessor”, asked in §13.3 — cut that clause and this one falls back on whatever answers remain. | Turned on by “Lessee”, asked in §13.3 — cut that clause and this one falls back on whatever answers remain.","standalone","",""
"13.6","94","13. Insurance, Risk of Loss, and Indemnification","INSURANCE_RISK.GL_NONE","","Lessor has elected not to require general liability insurance under this Agreement. Lessor accepts full risk and responsibility for liability …","no","“General liability insurance is not required for or by either party under this Agreement.” is “YES”","{""equals"":[""YES""],""field_key"":""TXN.GL_NOT_REQUIRED""}","— nothing","PROTECTIVE. Lessor’s express acceptance of full liability risk where no GL insurance is required. It is what makes the “not required” election a considered allocation rather than a gap. | Turned on by “General liability insurance is not required for or by either party under this Agreement.”, asked in §13.2 — cut that clause and this one stops printing for good.","PROTECTIVE","Lessor’s express acceptance of full liability risk where no GL insurance is required. It is what makes the “not required” election a considered allocation rather than a gap.",""
"13.7","95","13. Insurance, Risk of Loss, and Indemnification","INSURANCE_RISK.GL_LESSEE_RESP","General Liability — Lessee Responsibility","Lessee has elected to accept, and hereby accepts, financial responsibility for general liability insurance under this Agreement. Lessee shall obtain …","no","“The Lessee accepts financial responsibility for general liability insurance under this Agreement.” is “YES”","{""equals"":[""YES""],""field_key"":""TXN.GL_LESSEE_RESPONSIBLE""}","“The Lessee accepts financial responsibility for general liability insurance under this Agreement.” — only if “Lessor” is “Does not have and will not obtain” and “Lessee” is “Does not have and will not obtain” and “General liability insurance is not required for or by either party under this Agreement.” is “NO” or left blank","PROTECTIVE. Shifts general-liability responsibility to the Lessee where neither party holds a policy. The only clause that allocates GL risk in that state.","PROTECTIVE","Shifts general-liability responsibility to the Lessee where neither party holds a policy. The only clause that allocates GL risk in that state.",""
"13.8","96","13. Insurance, Risk of Loss, and Indemnification","INSURANCE_RISK.MORTALITY","Mortality Insurance","(no printed text — the “Mortality Insurance” question only)","yes","always","","“Mortality insurance is not required for or by either party under this Agreement.”","Cut → the question “Mortality insurance is not required for or by either party under this Agreement.” goes with it, and 1 clause (§13.12) stops printing for good. | Cut → the question “Mortality insurance is not required for or by either party under this Agreement.” goes with it, and 1 clause (§13.9) and 3 questions (“Lessor”, “Lessee”, “Deductible responsibility”) print in every lease from then on. | Cut → the question “Mortality insurance is not required for or by either party under this Agreement.” goes with it, and 3 clauses (§13.10, §13.11, §13.22) and 3 questions (“The Lessee accepts financial responsibility for mortality insurance under this Agreement.”, “Deductible split — paid by Lessor”, “Deductible split — paid by Lessee”) fall back on whatever answers remain.","DEPENDED-UPON","",""
"13.9","97","13. Insurance, Risk of Loss, and Indemnification","INSURANCE_RISK.MORT_STATUS","","Lessor: … mortality insurance on the Horse. Lessee: … mortality insurance on the Horse.","no","“Mortality insurance is not required for or by either party under this Agreement.” is “NO” or left blank","{""equals"":[""NO"",""""],""field_key"":""TXN.MORT_NOT_REQUIRED""}","“Lessor” [required] — only if “Mortality insurance is not required for or by either party under this Agreement.” is “NO” or left blank | “Lessee” [required] — only if “Mortality insurance is not required for or by either party under this Agreement.” is “NO” or left blank","Cut → the question “Lessor” goes with it, and 1 question (“The Lessee accepts financial responsibility for mortality insurance under this Agreement.”) stops printing for good. | Cut → the question “Lessee” goes with it, and 1 question (“The Lessee accepts financial responsibility for mortality insurance under this Agreement.”) stops printing for good. | Cut → the question “Lessor” goes with it, and 2 clauses (§13.10, §13.11) fall back on whatever answers remain. | Cut → the question “Lessee” goes with it, and 2 clauses (§13.10, §13.11) fall back on whatever answers remain. | §13.22 points at this clause in prose — “Lessor’s mortality insurance shall be the first policy noticed”. | Carries required fields “Lessor”, “Lessee” — cutting the clause removes them from the signing checks. | Turned on by “Mortality insurance is not required for or by either party under this Agreement.”, asked in §13.8 — cut that clause and this one prints in every lease from then on.","DEPENDED-UPON","",""
"13.10","98","13. Insurance, Risk of Loss, and Indemnification","INSURANCE_RISK.MORT_DEDR_SIMPLE","","If a claim is made under any such policy arising from events for which Lessee bears responsibility, whether directly or …","no","“Mortality insurance is not required for or by either party under this Agreement.” is “NO” or left blank and “Lessor” is “Has and will maintain” or “Will obtain and will maintain”; or “Lessee” is “Has and will maintain” or “Will obtain and will maintain”","{""all"":[{""equals"":[""NO"",""""],""field_key"":""TXN.MORT_NOT_REQUIRED""},{""any"":[{""equals"":[""HAS_WILL_MAINTAIN"",""WILL_OBTAIN""],""field_key"":""TXN.MORT_LESSOR_STATUS""},{""equals"":[""HAS_WILL_MAINTAIN"",""WILL_OBTAIN""],""field_key"":""TXN.MORT_LESSEE_STATUS""}]}]}","“Deductible responsibility” [required] — only if “Mortality insurance is not required for or by either party under this Agreement.” is “NO” or left blank","Cut → the question “Deductible responsibility” goes with it, and 1 clause (§13.11) and 2 questions (“Deductible split — paid by Lessor”, “Deductible split — paid by Lessee”) stop printing for good. | Carries required field “Deductible responsibility” — cutting the clause removes it from the signing checks. | Turned on by “Mortality insurance is not required for or by either party under this Agreement.”, asked in §13.8 — cut that clause and this one falls back on whatever answers remain. | Turned on by “Lessor”, asked in §13.9 — cut that clause and this one falls back on whatever answers remain. | Turned on by “Lessee”, asked in §13.9 — cut that clause and this one falls back on whatever answers remain.","DEPENDED-UPON","",""
